feature,value,shap,abs_shap
Churn Value,1,19.5241318460111,19.5241318460111
Churn Reason_missing,False,0.07400570668692265,0.07400570668692265
Zip Code,90403,-3.0688819541158097e-13,3.0688819541158097e-13
Latitude,34.031529,-4.7663695906807746e-14,4.7663695906807746e-14
Monthly Charges,50.7,-7.011752289898254e-15,7.011752289898254e-15
CLTV,4930,-6.845218836204481e-15,6.845218836204481e-15
Longitude,-118.491156,3.775625645463521e-15,3.775625645463521e-15
Churn Score,90,3.606490106555782e-15,3.606490106555782e-15
Tenure Months,4,-3.565182003784084e-15,3.565182003784084e-15
Streaming Movies_Yes,False,-1.2793585635328952e-17,1.2793585635328952e-17
